,deal,image,location,price,shop,title
0,7,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/120195703/TB2F321yv5TBuNjSspmXXaDRVXa_!!0-saturn_solar.jpg_180x180.jpg_.webp,广东 汕头,13.50,344210248cai,"潮汕
豆腐花豆腐脑即食新鲜美颜方便DIY6个装500克1斤包邮特产"
0,3,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/107361414/TB2pm41XGmWBuNkHFJHXXaatVXa_!!0-saturn_solar.jpg_180x180.jpg_.webp,广东 潮州,61.00,老七牛肉店,"日日鲜正宗
潮汕
手打牛肉丸500g潮州汕头特产火锅食材手捶牛丸一斤"
0,0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/129785491/TB2dDMTj7omBKNjSZFqXXXtqVXa_!!0-saturn_solar.jpg_180x180.jpg_.webp,广东 汕头,99.00,天涯客伊萍,"潮汕
特产零食虾干即食烤虾干大对虾干虾仁虾米海鲜500g普虾干包邮"
0,20,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/713757391/TB2ftwInCYTBKNjSZKbXXXJ8pXa_!!713757391.jpg_180x180.jpg_.webp,广东 汕头,78.00,st一品李,"一品李
潮汕
达濠那哥鱼丸猪肚丸海鲜虾丸手工丸纯鱼肉火锅丸子组合"
0,198,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/2862860624/TB271lJuhxmpuFjSZFNXXXrRXXa_!!2862860624.jpg_180x180.jpg_.webp,广东 汕头,24.50,晶华渔匠2016,"「晶华鱼丸」
潮汕
鱼皮饺子 手工水饺 鱼饺 250g 海底捞火锅食材"
0,157,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/677874387/TB20WsKXmZb61BjSZPfXXaU.pXa_!!677874387.jpg_180x180.jpg_.webp,广东 潮州,35.00,tb7989499,"天天特价正宗老店胡荣泉腐乳饼月饼
潮汕
特产纯手工2斤盒包邮"
0,21,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/3920321088/TB2HzWiApuWBuNjSszbXXcS7FXa_!!3920321088.jpg_180x180.jpg_.webp,广东 汕头,28.80,潮汕食记,"潮汕
特产 潮式酥皮朥饼 纯手工零食中秋月饼千层饼素喜饼美食糕点"
0,211,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1660860253/TB2BjaeyQ9WBuNjSspeXXaz5VXa_!!1660860253.jpg_180x180.jpg_.webp,广东 汕头,25.83,tb95195282,"猪肉脯
潮汕
口味芝麻碳烤手工猪肉片干福建 250g 特产零食肉食小吃"
0,243,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/3246919488/TB1aHxRnXGWBuNjy0FbXXb4sXXa_!!0-item_pic.jpg_180x180.jpg_.webp,江苏 苏州,36.00,捷亚食品专营店,"潮汕
特产蓬盛香港橄榄菜450g*3瓶小菜酱菜芥菜开味菜 下饭菜"
0,76,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/812242849/TB2dAxRehGYBuNjy0FnXXX5lpXa_!!812242849.jpg_180x180.jpg_.webp,广东 潮州,114.00,tb5443809,"正宗
潮汕
手打牛肉丸汕头牛肉丸 潮州牛筋丸2斤装
潮汕
特产新鲜爽口"
0,81,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/664921971/TB2HLVtXQ9WBuNjSspeXXaz5VXa_!!664921971.jpg_180x180.jpg_.webp,广东 汕头,24.00,小肥杰爱宝宝,"潮汕
特产 鱼饺 火锅料鱼皮饺子 关东煮食材手工鱼饺 传统手工饺子"
0,42,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1sqomPFXXXXbYXpXXXXXXXXXX_!!0-item_pic.jpg_180x180.jpg_.webp,广东 汕头,38.00,琉璃执着,"500克
潮汕
美食 水晶虾饺皇 纯手工广式茶点 约15个 港式虾饺"
0,54,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/702999848/TB2hKOdXtVIxuRkSR2gXXbqqXXa_!!702999848.jpg_180x180.jpg_.webp,广东 汕头,30.00,elaine陈银玲,"200g包邮
潮汕
特产小吃办公零食零嘴猪肉脯 芝麻猪肉脯猪肉干包邮"
