Column1	deal	image	location	price	shop	title
0	120	//g.alicdn.com/s.gif	山东 济南	1488	淘淘淘贝贝宝宝	"盒装技嘉GTX1060 5G
显卡
WF OC 5G 6G台式电脑游戏
显卡
吃鸡
显卡"
0	103	//g.alicdn.com/s.gif	四川 成都	1018	ko花小姐	"华硕猛禽GTX970 4G吃鸡
显卡
影驰980 6G有1060 1070 8G 1050ti 4G"
0	92	//g.alicdn.com/s.gif	湖北 武汉	1429	铭瑄睿龙专卖店	"铭瑄GTX1060 6g风系列JetStream三风扇游戏
显卡
3G超终结者巨无霸"
0	372	//g.alicdn.com/s.gif	浙江 杭州	270	内存cpu帮主	"正品华硕GTX750TI 2G D5台式机 独立
显卡
吃鸡 CF 剑灵 守望先锋"
0	55	//g.alicdn.com/s.gif	广东 深圳	1599	smartlu2008	"磐镭RX580 8G吃鸡
显卡
台式主机电脑游戏独立
显卡
绝地求生全效畅玩"
0	59	//g.alicdn.com/s.gif	广东 广州	1459	九日堂数码专营店	"全新影驰
显卡
GTX1060 GDDR5高端独立
显卡
3G可升更大显存 吃鸡
显卡"
0	94	//g.alicdn.com/s.gif	湖北 武汉	3999	瑞达中腾数码专营店	"【6期免息】索泰GTX1080 8G至尊PLUS OC高频8GB电脑独立游戏
显卡"
0	75	//g.alicdn.com/s.gif	四川 成都	688	潘健的	"诚信科技 AMD R9 290 4G
显卡
有R9 390 8G 380X RX470 480 GTX1060"
0	51	//g.alicdn.com/s.gif	广东 广州	3499	慧川数码专营店	"分期购 技嘉GTX1070Ti AORUS雕牌小雕Gaming 8G吃鸡
显卡"
0	62	//g.alicdn.com/s.gif	湖北 武汉	2899	瑞达中腾数码专营店	"现货七彩虹iGame GTX1070烈焰战神U 8G游戏电脑逆水寒独立
显卡"
0	143	//g.alicdn.com/s.gif	四川 成都	268	leihais123	"华硕/讯景/蓝宝石R9 270 2G 独立
显卡
有370 7850 760 950 960 660"
0	23	//g.alicdn.com/s.gif	湖北 武汉	3499	铭瑄电脑硬件旗舰店	"MAXSUN/铭瑄GTX1080 8G 风电脑游戏独立
显卡"
0	72	//g-search2.alicdn.com/img/bao/uploaded/i4/i2/1746864514/TB1EpVJnHZnBKNjSZFGXXbt3FXa_!!0-item_pic.jpg_180x180.jpg_.webp	江苏 南京	1199	和瑟数码专营店	"微星GTX1050Ti 4G Gaming X 红龙台式机电脑吃鸡游戏独立
显卡
4g"
0	106	//g-search3.alicdn.com/img/bao/uploaded/i4/i1/3359772057/TB2NwpHzeSSBuNjy0FlXXbBpVXa_!!3359772057-0-item_pic.jpg_180x180.jpg_.webp	江苏 南京	1348	gainward耕升旗舰店	"旗舰店耕升GTX1060旋风3G 电脑游戏独立
显卡"
0	63	//g-search1.alicdn.com/img/bao/uploaded/i4/i1/1855578590/TB2lStdzXmWBuNjSspdXXbugXXa_!!1855578590-0-item_pic.jpg_180x180.jpg_.webp	湖北 武汉	899	迪兰恒进旗舰店	"迪兰恒进 RX560D X-Serial 4G战将 台式机电脑游戏独立
显卡"
0	331	//g-search3.alicdn.com/img/bao/uploaded/i4/i4/85614716/TB2QYYlmlyWBuNkSmFPXXXguVXa_!!85614716.jpg_180x180.jpg_.webp	广东 深圳	315	linsj66	"正品影驰GTX750Ti 2GD5台式机电脑游戏独立
显卡
流畅吃鸡高清拼660"
0	9	//g-search2.alicdn.com/img/bao/uploaded/i4/i2/2331432943/TB20L3WXb1YBuNjSszeXXablFXa_!!2331432943.jpg_180x180.jpg_.webp	上海	1900	上海至高电子	"丽台Quadro K5000 4G
显卡
DDR5专业图形 绘图/渲染建模"
